True_Gesture,Predicted_Gesture,Confusion_Rate,Raw_Count
thumb_in,middle_release,0.5714285714285714,28
thumb_out,middle_release,0.29411764705882354,15
index_release,middle_release,0.28901734104046245,50
thumb_click,middle_release,0.23809523809523808,10
middle_release,index_release,0.23780487804878048,39
thumb_down,middle_release,0.22916666666666666,11
thumb_up,middle_release,0.2127659574468085,10
thumb_up,thumb_out,0.1702127659574468,8
thumb_in,index_release,0.16326530612244897,8
thumb_in,thumb_click,0.16326530612244897,8
thumb_click,index_release,0.14285714285714285,6
middle_release,middle_press,0.12195121951219512,20
thumb_click,thumb_out,0.11904761904761904,5
thumb_out,thumb_up,0.11764705882352941,6
thumb_up,thumb_click,0.10638297872340426,5
thumb_down,thumb_out,0.10416666666666667,5
thumb_down,middle_press,0.10416666666666667,5
index_press,middle_press,0.10240963855421686,17
